"sum","Name","Date","Jahr"
3349,"Ost-Süd",2020-11-25,2020
3362,"Ost-Süd",2020-11-26,2020
3449,"Ost-Süd",2020-11-27,2020
2980,"Ost-Süd",2020-11-28,2020
2216,"Ost-Süd",2020-11-29,2020
3110,"Ost-Süd",2020-11-30,2020
3107,"Ost-Süd",2020-12-01,2020
3369,"Ost-Süd",2020-12-02,2020
3551,"Ost-Süd",2020-12-03,2020
3409,"Ost-Süd",2020-12-04,2020
2757,"Ost-Süd",2020-12-05,2020
2027,"Ost-Süd",2020-12-06,2020
3081,"Ost-Süd",2020-12-07,2020
3347,"Ost-Süd",2020-12-08,2020
2818,"Ost-Süd",2020-12-09,2020
3251,"Ost-Süd",2020-12-10,2020
3230,"Ost-Süd",2020-12-11,2020
2731,"Ost-Süd",2020-12-12,2020
2230,"Ost-Süd",2020-12-13,2020
2986,"Ost-Süd",2020-12-14,2020
3113,"Ost-Süd",2020-12-15,2020
3025,"Ost-Süd",2020-12-16,2020
3254,"Ost-Süd",2020-12-17,2020
3132,"Ost-Süd",2020-12-18,2020
2373,"Ost-Süd",2020-12-19,2020
2396,"Ost-Süd",2020-12-20,2020
2419,"Ost-Süd",2020-12-21,2020
2479,"Ost-Süd",2020-12-22,2020
2355,"Ost-Süd",2020-12-23,2020
1575,"Ost-Süd",2020-12-24,2020
1309,"Ost-Süd",2020-12-25,2020
1882,"Ost-Süd",2020-12-26,2020
1398,"Ost-Süd",2020-12-27,2020
1653,"Ost-Süd",2020-12-28,2020
2092,"Ost-Süd",2020-12-29,2020
1864,"Ost-Süd",2020-12-30,2020
1740,"Ost-Süd",2020-12-31,2020
1324,"West-Süd",2020-01-01,2020
1130,"West-Süd",2020-01-02,2020
1510,"West-Süd",2020-01-03,2020
1465,"West-Süd",2020-01-04,2020
1845,"West-Süd",2020-01-05,2020
2664,"West-Süd",2020-01-06,2020
2714,"West-Süd",2020-01-07,2020
2908,"West-Süd",2020-01-08,2020
3064,"West-Süd",2020-01-09,2020
2821,"West-Süd",2020-01-10,2020
1972,"West-Süd",2020-01-11,2020
2059,"West-Süd",2020-01-12,2020
2817,"West-Süd",2020-01-13,2020
3044,"West-Süd",2020-01-14,2020
3290,"West-Süd",2020-01-15,2020
3193,"West-Süd",2020-01-16,2020
2436,"West-Süd",2020-01-17,2020
2043,"West-Süd",2020-01-18,2020
1798,"West-Süd",2020-01-19,2020
2847,"West-Süd",2020-01-20,2020
2870,"West-Süd",2020-01-21,2020
2959,"West-Süd",2020-01-22,2020
2730,"West-Süd",2020-01-23,2020
2653,"West-Süd",2020-01-24,2020
2566,"West-Süd",2020-01-25,2020
1805,"West-Süd",2020-01-26,2020
2694,"West-Süd",2020-01-27,2020
2211,"West-Süd",2020-01-28,2020
2620,"West-Süd",2020-01-29,2020
2627,"West-Süd",2020-01-30,2020
3400,"West-Süd",2020-01-31,2020
1975,"West-Süd",2020-02-01,2020
1555,"West-Süd",2020-02-02,2020
2193,"West-Süd",2020-02-03,2020
2356,"West-Süd",2020-02-04,2020
2934,"West-Süd",2020-02-05,2020
2931,"West-Süd",2020-02-06,2020
2879,"West-Süd",2020-02-07,2020
2989,"West-Süd",2020-02-08,2020
2011,"West-Süd",2020-02-09,2020
1914,"West-Süd",2020-02-10,2020
1972,"West-Süd",2020-02-11,2020
2361,"West-Süd",2020-02-12,2020
2170,"West-Süd",2020-02-13,2020
2790,"West-Süd",2020-02-14,2020
2141,"West-Süd",2020-02-15,2020
1913,"West-Süd",2020-02-16,2020
2139,"West-Süd",2020-02-17,2020
3013,"West-Süd",2020-02-18,2020
2484,"West-Süd",2020-02-19,2020
2963,"West-Süd",2020-02-20,2020
2815,"West-Süd",2020-02-21,2020
2914,"West-Süd",2020-02-22,2020
2098,"West-Süd",2020-02-23,2020
3345,"West-Süd",2020-02-24,2020
2719,"West-Süd",2020-02-25,2020
2518,"West-Süd",2020-02-26,2020
2434,"West-Süd",2020-02-27,2020
3095,"West-Süd",2020-02-28,2020
1754,"West-Süd",2020-02-29,2020
2035,"West-Süd",2020-03-01,2020
2389,"West-Süd",2020-03-02,2020
2899,"West-Süd",2020-03-03,2020
3080,"West-Süd",2020-03-04,2020
2210,"West-Süd",2020-03-05,2020
2317,"West-Süd",2020-03-06,2020
2101,"West-Süd",2020-03-07,2020
2218,"West-Süd",2020-03-08,2020
2439,"West-Süd",2020-03-09,2020
2223,"West-Süd",2020-03-10,2020
3141,"West-Süd",2020-03-11,2020
3188,"West-Süd",2020-03-12,2020
2870,"West-Süd",2020-03-13,2020
1812,"West-Süd",2020-03-14,2020
2218,"West-Süd",2020-03-15,2020
2528,"West-Süd",2020-03-16,2020
2047,"West-Süd",2020-03-17,2020
2053,"West-Süd",2020-03-18,2020
1939,"West-Süd",2020-03-19,2020
1643,"West-Süd",2020-03-20,2020
941,"West-Süd",2020-03-21,2020
1034,"West-Süd",2020-03-22,2020
1528,"West-Süd",2020-03-23,2020
1406,"West-Süd",2020-03-24,2020
1454,"West-Süd",2020-03-25,2020
1353,"West-Süd",2020-03-26,2020
1572,"West-Süd",2020-03-27,2020
1552,"West-Süd",2020-03-28,2020
755,"West-Süd",2020-03-29,2020
1174,"West-Süd",2020-03-30,2020
1634,"West-Süd",2020-03-31,2020
1822,"West-Süd",2020-04-01,2020
1700,"West-Süd",2020-04-02,2020
1647,"West-Süd",2020-04-03,2020
1535,"West-Süd",2020-04-04,2020
1602,"West-Süd",2020-04-05,2020
1633,"West-Süd",2020-04-06,2020
1820,"West-Süd",2020-04-07,2020
1744,"West-Süd",2020-04-08,2020
1683,"West-Süd",2020-04-09,2020
1644,"West-Süd",2020-04-10,2020
1563,"West-Süd",2020-04-11,2020
1607,"West-Süd",2020-04-12,2020
1526,"West-Süd",2020-04-13,2020
1635,"West-Süd",2020-04-14,2020
1884,"West-Süd",2020-04-15,2020
1847,"West-Süd",2020-04-16,2020
2056,"West-Süd",2020-04-17,2020
1874,"West-Süd",2020-04-18,2020
1683,"West-Süd",2020-04-19,2020
1836,"West-Süd",2020-04-20,2020
1813,"West-Süd",2020-04-21,2020
2069,"West-Süd",2020-04-22,2020
2087,"West-Süd",2020-04-23,2020
2114,"West-Süd",2020-04-24,2020
1992,"West-Süd",2020-04-25,2020
1722,"West-Süd",2020-04-26,2020
2251,"West-Süd",2020-04-27,2020
1323,"West-Süd",2020-04-28,2020
1750,"West-Süd",2020-04-29,2020
1522,"West-Süd",2020-04-30,2020
1150,"West-Süd",2020-05-01,2020
1282,"West-Süd",2020-05-02,2020
1923,"West-Süd",2020-05-03,2020
2070,"West-Süd",2020-05-04,2020
1455,"West-Süd",2020-05-05,2020
2280,"West-Süd",2020-05-06,2020
2474,"West-Süd",2020-05-07,2020
2469,"West-Süd",2020-05-08,2020
2283,"West-Süd",2020-05-09,2020
1954,"West-Süd",2020-05-10,2020
1690,"West-Süd",2020-05-11,2020
2260,"West-Süd",2020-05-12,2020
1963,"West-Süd",2020-05-13,2020
2013,"West-Süd",2020-05-14,2020
2179,"West-Süd",2020-05-15,2020
2222,"West-Süd",2020-05-16,2020
2407,"West-Süd",2020-05-17,2020
2516,"West-Süd",2020-05-18,2020
2639,"West-Süd",2020-05-19,2020
2742,"West-Süd",2020-05-20,2020
2165,"West-Süd",2020-05-21,2020
2126,"West-Süd",2020-05-22,2020
1184,"West-Süd",2020-05-23,2020
2038,"West-Süd",2020-05-24,2020
2578,"West-Süd",2020-05-25,2020
2729,"West-Süd",2020-05-26,2020
2838,"West-Süd",2020-05-27,2020
2660,"West-Süd",2020-05-28,2020
2895,"West-Süd",2020-05-29,2020
2209,"West-Süd",2020-05-30,2020
1960,"West-Süd",2020-05-31,2020
2356,"West-Süd",2020-06-01,2020
2803,"West-Süd",2020-06-02,2020
2806,"West-Süd",2020-06-03,2020
1821,"West-Süd",2020-06-04,2020
2290,"West-Süd",2020-06-05,2020
1964,"West-Süd",2020-06-06,2020
1574,"West-Süd",2020-06-07,2020
2693,"West-Süd",2020-06-08,2020
2587,"West-Süd",2020-06-09,2020
2364,"West-Süd",2020-06-10,2020
3011,"West-Süd",2020-06-11,2020
3153,"West-Süd",2020-06-12,2020
2073,"West-Süd",2020-06-13,2020
1679,"West-Süd",2020-06-14,2020
2784,"West-Süd",2020-06-15,2020
2967,"West-Süd",2020-06-16,2020
2453,"West-Süd",2020-06-17,2020
2881,"West-Süd",2020-06-18,2020
2701,"West-Süd",2020-06-19,2020
2494,"West-Süd",2020-06-20,2020
2201,"West-Süd",2020-06-21,2020
3105,"West-Süd",2020-06-22,2020
3055,"West-Süd",2020-06-23,2020
3234,"West-Süd",2020-06-24,2020
3325,"West-Süd",2020-06-25,2020
2990,"West-Süd",2020-06-26,2020
2455,"West-Süd",2020-06-27,2020
2150,"West-Süd",2020-06-28,2020
2629,"West-Süd",2020-06-29,2020
3221,"West-Süd",2020-06-30,2020
3344,"West-Süd",2020-07-01,2020
3078,"West-Süd",2020-07-02,2020
2935,"West-Süd",2020-07-03,2020
2613,"West-Süd",2020-07-04,2020
2208,"West-Süd",2020-07-05,2020
3065,"West-Süd",2020-07-06,2020
3389,"West-Süd",2020-07-07,2020
3283,"West-Süd",2020-07-08,2020
3205,"West-Süd",2020-07-09,2020
2714,"West-Süd",2020-07-10,2020
2026,"West-Süd",2020-07-11,2020
2125,"West-Süd",2020-07-12,2020
2791,"West-Süd",2020-07-13,2020
3069,"West-Süd",2020-07-14,2020
2493,"West-Süd",2020-07-15,2020
2498,"West-Süd",2020-07-16,2020
2402,"West-Süd",2020-07-17,2020
2357,"West-Süd",2020-07-18,2020
1952,"West-Süd",2020-07-19,2020
2678,"West-Süd",2020-07-20,2020
2511,"West-Süd",2020-07-21,2020
2623,"West-Süd",2020-07-22,2020
2676,"West-Süd",2020-07-23,2020
2335,"West-Süd",2020-07-24,2020
2039,"West-Süd",2020-07-25,2020
1863,"West-Süd",2020-07-26,2020
2363,"West-Süd",2020-07-27,2020
2495,"West-Süd",2020-07-28,2020
2489,"West-Süd",2020-07-29,2020
2510,"West-Süd",2020-07-30,2020
2290,"West-Süd",2020-07-31,2020
1994,"West-Süd",2020-08-01,2020
1619,"West-Süd",2020-08-02,2020
1700,"West-Süd",2020-08-03,2020
1972,"West-Süd",2020-08-04,2020
2734,"West-Süd",2020-08-05,2020
2680,"West-Süd",2020-08-06,2020
2504,"West-Süd",2020-08-07,2020
1857,"West-Süd",2020-08-08,2020
1721,"West-Süd",2020-08-09,2020
2582,"West-Süd",2020-08-10,2020
2612,"West-Süd",2020-08-11,2020
2714,"West-Süd",2020-08-12,2020
2688,"West-Süd",2020-08-13,2020
2764,"West-Süd",2020-08-14,2020
2207,"West-Süd",2020-08-15,2020
2097,"West-Süd",2020-08-16,2020
2504,"West-Süd",2020-08-17,2020
2940,"West-Süd",2020-08-18,2020
2943,"West-Süd",2020-08-19,2020
3104,"West-Süd",2020-08-20,2020
3053,"West-Süd",2020-08-21,2020
1876,"West-Süd",2020-08-22,2020
2022,"West-Süd",2020-08-23,2020
2998,"West-Süd",2020-08-24,2020
3047,"West-Süd",2020-08-25,2020
3100,"West-Süd",2020-08-26,2020
3113,"West-Süd",2020-08-27,2020
2343,"West-Süd",2020-08-28,2020
1445,"West-Süd",2020-08-29,2020
891,"West-Süd",2020-08-30,2020
2661,"West-Süd",2020-08-31,2020
2926,"West-Süd",2020-09-01,2020
3121,"West-Süd",2020-09-02,2020
3208,"West-Süd",2020-09-03,2020
3192,"West-Süd",2020-09-04,2020
2237,"West-Süd",2020-09-05,2020
1594,"West-Süd",2020-09-06,2020
2818,"West-Süd",2020-09-07,2020
3103,"West-Süd",2020-09-08,2020
3308,"West-Süd",2020-09-09,2020
3166,"West-Süd",2020-09-10,2020
2977,"West-Süd",2020-09-11,2020
2491,"West-Süd",2020-09-12,2020
2107,"West-Süd",2020-09-13,2020
2804,"West-Süd",2020-09-14,2020
3311,"West-Süd",2020-09-15,2020
3115,"West-Süd",2020-09-16,2020
3132,"West-Süd",2020-09-17,2020
3119,"West-Süd",2020-09-18,2020
2307,"West-Süd",2020-09-19,2020
2011,"West-Süd",2020-09-20,2020
2999,"West-Süd",2020-09-21,2020
3073,"West-Süd",2020-09-22,2020
3136,"West-Süd",2020-09-23,2020
2667,"West-Süd",2020-09-24,2020
2150,"West-Süd",2020-09-25,2020
1451,"West-Süd",2020-09-26,2020
1909,"West-Süd",2020-09-27,2020
2865,"West-Süd",2020-09-28,2020
2366,"West-Süd",2020-09-29,2020
2868,"West-Süd",2020-09-30,2020
2913,"West-Süd",2020-10-01,2020
2733,"West-Süd",2020-10-02,2020
2115,"West-Süd",2020-10-03,2020
1870,"West-Süd",2020-10-04,2020
2303,"West-Süd",2020-10-05,2020
2299,"West-Süd",2020-10-06,2020
2304,"West-Süd",2020-10-07,2020
2644,"West-Süd",2020-10-08,2020
2354,"West-Süd",2020-10-09,2020
1315,"West-Süd",2020-10-10,2020
1418,"West-Süd",2020-10-11,2020
2087,"West-Süd",2020-10-12,2020
2404,"West-Süd",2020-10-13,2020
2671,"West-Süd",2020-10-14,2020
2174,"West-Süd",2020-10-15,2020
1723,"West-Süd",2020-10-16,2020
1640,"West-Süd",2020-10-17,2020
1750,"West-Süd",2020-10-18,2020
2579,"West-Süd",2020-10-19,2020
2717,"West-Süd",2020-10-20,2020
2757,"West-Süd",2020-10-21,2020
